"","title","singer","pc","hc"
"462","The One","EXO-CBX (첸백시)",4,2
"463","The Romantic","투개월",4,2
"464","The Time Goes On","BewhY (비와이)",3,1
"465","This Christmas","태연 (TAEYEON)",1,2
"466","This Love","신화",5,2
"467","Thursday","EXO-CBX (첸백시)",4,2
"468","To Be One (Outro.)","Wanna One (워너원)",4,2
"469","To Be With You","김연우",4,2
"470","To You","틴탑",5,1
"471","To.Mom (Feat. 인순이)","키썸 (Kisum)",5,2
"472","Today (Feat. 김종완 Of Nell)","G-DRAGON",4,2
"473","TOMBOY","혁오 (HYUKOH)",2,1
"474","Tonight","스피카",5,2
"475","Touch","미쓰에이",2,1
"476","Touch Love","윤미래",1,1
"477","Touch My Body","씨스타",2,1
"478","Toy","블락비 (Block B)",2,1
"479","Trouble","EXO",4,2
"480","TT","TWICE (트와이스)",2,3
"481","Twilight","Wanna One (워너원)",5,2
"482","U","엠씨더맥스 (M.C the MAX)",4,2
"483","U & I (With Crush & 빈지노)","토이",1,1
"484","U (Feat. 권진아, 랩몬스터)","프라이머리",4,2
"485","U GOT IT","갓츄 (GOT U)",5,2
"486","U GOT IT (X1 Ver.)","X1 (엑스원)",4,2
"487","U R","태연 (TAEYEON)",2,2
"488","Uh-Oh","(여자)아이들",4,2
"489","UN Village","백현 (BAEKHYUN)",5,2
"490","Unfinished","디셈버",5,2
"491","Universe","EXO",1,3
"492","unlucky","아이유",1,2
"493","UP (Feat. 박봄 Of 2NE1)","에픽하이 (EPIK HIGH)",5,2
"494","UUU","정인",4,2
"495","Venus","신화",5,2
"496","Very Good","블락비 (Block B)",1,2
"497","View","SHINee (샤이니)",2,1
"498","Vista","피에스타",4,2
"499","VIVA청춘","딕펑스 (DICKPUNKS)",4,2
"500","Voice (Feat. Swings)","Lim Kim",4,2
"501","Volume Up","4minute",2,1
"502","Vroom Vroom","EXO-CBX (첸백시)",4,2
"503","Wait","EXO",4,2
"504","Wanna Be (My Baby)","Wanna One (워너원)",5,2
"505","WARRIOR","B.A.P",4,2
"506","Wash Away (Feat. 에일리)","긱스 (Geeks)",2,1
"507","Way Back Home","숀 (SHAUN)",2,3
"508","We are Bulletproof : the Eternal","방탄소년단",4,1
"509","WE LIKE 2 PARTY","BIGBANG",2,1
"510","What a life","세훈&찬열",4,4
"511","What Could I Do (Feat. 범키)","MC몽",5,2
"512","What I Want For Christmas","EXO",4,2
"513","What is Love?","TWICE (트와이스)",2,1
"514","What U do?","EXO",4,2
"515","Whatever (Feat. 민아 Of 걸스데이)","MC몽",1,2
"516","Whatta Man (Good man)","아이오아이 (I.O.I)",2,2
"517","WHERE YOU AT","뉴이스트 W",1,2
"518","Who Are You","샘김 (Sam Kim)",2,1
"519","Who Are You (Feat. 개코)","보아 (BoA)",2,2
"520","WHOZ THAT GIRL","EXID",4,2
"521","Why","태연 (TAEYEON)",1,1
"522","Why So Lonely","원더걸스",2,1
"523","Wind flower","마마무 (Mamamoo)",5,2
"524","Winter Song (Feat. Navi)","프리스타일",5,2
"525","With You","린",5,2
"526","XX","볼빨간사춘기",5,2
"527","Ya Ya Ya","EXO",4,2
"528","YES or YES","TWICE (트와이스)",2,3
"529","YESTERDAY","블락비 (Block B)",2,1
"530","YooHoo (유후)","시크릿",1,1
"531","You","멜로망스",3,3
"532","You Are My Everything","거미",2,1
"533","You＆I","먼데이 키즈 (Monday Kiz)",4,2
"534","You(=I)","볼빨간사춘기",4,3
"535","Yum-Yum (얌얌)","7 go up",5,2
"536","Zeze","아이유",1,1
"537","가","BOBBY",1,2
"538","가끔","Crush",5,1
"539","가끔","지아",3,1
"540","가끔 (Feat. Crush, 기리보이)","긱스 (Geeks)",1,2
"541","가끔 내가","김나영",4,2
"542","가드올리고 Bounce","BOBBY",1,1
"543","가라사대","BewhY (비와이)",4,1
"544","가로수길에서 (Feat. Ara)","가비엔제이",4,2
"545","가르마","AKMU (악동뮤지션)",5,2
"546","가수가 된 이유","이예준",4,2
"547","가슴 뛰도록","SG 워너비",2,1
"548","가슴에 내린다","이수 (엠씨더맥스)",5,2
"549","가슴이 말해","김나영",4,2
"550","가슴이 시린 게","이현",2,1
"551","가시사랑","포맨",4,2
"552","가을 아침","아이유",2,1
"553","가을 안부","먼데이 키즈 (Monday Kiz)",3,3
"554","가을 타나 봐","바이브",3,3
"555","가을밤","버스커 버스커",5,2
"556","가을밤 떠난 너","케이시 (Kassy)",2,1
"557","가족","홍대광",5,2
"558","가지마","나비",5,2
"559","가질 수 없는 너","거미",4,2
"560","가질 수 없는 너","하이니 (HiNi)",5,1
"561","가질 수 없는 너  (화생방실 클레오파트라) (Bonus Track)","김연우",5,1
"562","갈 수가 없어","벤",4,2
"563","감아 (Feat. Crush)","로꼬",1,1
"564","강북멋쟁이","정형돈",1,1
"565","갖고 싶어","Wanna One (워너원)",1,1
"566","갖고놀래 (Feat. 다이나믹 듀오)","범키",2,1
"567","같은 곳에서","소녀온탑",3,1
"568","같은 시간 속의 너","나얼",2,3
"569","같이 걸을까","딕펑스 (DICKPUNKS)",4,2
"570","걔 세","WINNER",5,2
"571","거기서거기 (Without You)","다이나믹 듀오",2,1
"572","거꾸로 걷는다","어반자카파",5,2
"573","거북이","다비치",2,1
"574","거짓말 (Feat. 이해리 Of 다비치)","매드클라운",1,2
"575","거짓말 거짓말 거짓말","이적",1,1
"576","거짓말이라도 해줘요","박보람",4,2
"577","거짓말이야","B1A4",5,2
"578","거품 안 넘치게 따라줘 (Life Is Good) (Feat. Crush, DJ Friz)","다이나믹 듀오",5,2
"579","걱정마쇼 (Feat. 우혜미 & Loptimist)","배치기",4,2
"580","걱정말아요 그대","이적",2,3
"581","건 (Gun)","나인뮤지스",4,2
"582","걷다","윤건",4,2
"583","걸어 본다","B1A4",4,2
